H_E;R;Pinyin;Gua Qi;Gua Yun;GN;English;CN;Pinyin2;Sector (deg)°;Binary;GR
H1_E1;R31;ji?_z?;1;1;02;Responding;64;k?n;354.375 to 360;000000;Kun
H2_E2;R32;y?_ch?u;3;6;21;Eradicating;06;shì kè;28.125 to 33.75;101001;Zhen
H3_E3;R33;b?ng_yín;2;4;37;Household;12;ji? rén;61.875 to 67.5;110101;Li
H4_E4;R34;d?ng_m?o;6;9;41;Decreasing;18;s?n;95.625 to 101.25;100011;Dui
H5_E5;R35;wù_chén;9;6;10;Fulfillment;24;l?;129.375 to 135;111011;Dui
H6_E6;R36;j?_sì;8;2;34;Great Strength;29;((dà zhuàng));157.5 to 163.125;001111;Qian
H7_E7;R37;g?ng_w?;8;9;32;Long Lasting;36;héng;196.875 to 202.5;001110;Xun
H8_E8;R38;x?n_wèi;9;3;06;Contention;41;sòng;225 to 230.625;111010;Kan
H9_E9;R39;rén_sh?n;1;7;07;Multitude;48;sh?;264.375 to 270;000010;Kan
H10_E10;R40;gu?_y?u;2;7;53;Developing Gradually;53;jiàn;292.5 to 298.125;110100;Gen
H1_E11;R41;ji?_x?;7;2;39;Hardship;54;ji?n;298.125 to 303.75;010100;Gen
H2_E12;R42;y?_hài;3;3;35;Proceeding Forward;59;jìn;326.25 to 331.875;101000;Kun
H3_E1;R43;b?ng_z?;6;3;27;Nourishing;02;yí;5.625 to 11.25;100001;Zhen
H4_E2;R44;d?ng_ch?u;4;7;17;Following;07;suí;33.75 to 39.375;011001;Zhen
H5_E3;R45;wù_yín;8;6;55;Abundance;13;f?ng;67.5 to 73.125;001101;Li
H6_E4;R46;j?_m?o;7;8;60;Restricting;19;((jié));101.25 to 106.875;010011;Dui
H7_E5;R47;g?ng_chén;1;9;11;Advance;25;tài;135 to 140.625;000111;Qian
H8_E6;R48;x?n_sì;3;7;14;Great Harvest;30;dà y?u;163.125 to 168.75;101111;Qian
H9_E7;R49;rén_w?;2;1;57;Proceeding Humbly;37;xùn;202.5 to 208.125;110110;Xun
H10_E8;R50;gu?_wèi;4;8;47;Exhausting;42;kùn;230.625 to 236.25;011010;Kan
H1_E9;R51;ji?_sh?n;3;9;64;Not Yet Fulfilled;43;wèi jì;236.25 to 241.875;101010;Kan
H2_E10;R52;y?_y?u;9;4;33;Retreat;49;dùn;270 to 275.625;111100;Gen
H3_E11;R53;b?ng_x?;6;1;52;Keeping Still;55;gèn;303.75 to 309.375;100100;Gen
H4_E12;R54;d?ng_hài;8;8;16;Delight;60;yù;331.875 to 337.5;001000;Kun
H5_E1;R55;wù_z?;7;4;03;Beginning;03;zh?n;11.25 to 16.875;10001;Zhen
H6_E2;R56;j?_ch?u;9;2;25;Without Falsehood;08;((wú wàng));39.375 to 45;111001;Zhen
H7_E3;R57;g?ng_yín;4;2;49;Abolishing The Old;15;gé;78.75 to 84.375;011101;Li
H7_E3;R57;g?ng_yín;3;1;30;Brightness;14;lí;73.125 to 78.75;101101;Li
H8_E4;R58;x?n_m?o;2;3;61;Innermost Sincerity;20;zh?ng fú;106.875 to 112.5;110011;Dui
H9_E5;R59;rén_chén;6;4;26;Great Accumulation;26;dà chù;140.625 to 146.25;100111;Qian
H10_E6;R60;gu?_sì;4;6;43;Eliminating;31;guài;168.75 to 174.375;011111;Qian
