entry_atr_period,entry_stop_atr_rate,stop_atr_period,stop_loss_atr_rate,trailing_stop_atr_rate,take_profit_atr_period,take_profit_atr_rate,slow_ma_period,max_day_attempts,astro_signal_trend_period,astro_signal_shift_hour,enable_astro_signal,enable_moon_zodsign_filter,score
43,0.5,30,3.0,10.5,30,6,94,1,3,4,0,0,0.0171495330764866
35,0.4,46,1.4,7.8,20,7,46,3,4,8,1,0,0.015091782327977
50,0.1,10,5.0,1.0,40,7,63,5,4,0,1,0,0.0133678246898299
25,0.5,30,3.2,2.1,19,6,55,3,3,11,0,0,0.0001
10,1.0,49,1.0,1.0,50,10,12,5,1,0,1,1,0.0164643444522301
50,0.5,30,1.0,10.5,50,6,55,5,3,11,1,1,0.0096666551286843
37,0.5,20,3.9,2.2,46,6,85,3,3,5,0,1,0.0167661811087858
50,0.8,20,5.0,1.0,18,6,10,3,1,23,0,0,0.0001
38,1.0,38,1.1,8.3,27,6,45,4,4,9,1,1,0.0078364390869152
50,0.1,50,4.9,19.7,50,2,11,1,1,1,1,0,0.0001
43,0.2,47,3.7,13.6,24,9,22,4,3,21,0,1,0.0166138421711126
37,1.0,20,3.9,1.3,46,10,85,1,3,5,0,1,0.0001
36,0.4,46,1.2,7.4,21,7,47,3,4,8,1,0,0.0148155241828729
50,0.1,10,1.0,1.0,10,10,100,5,1,1,0,0,0.0001
50,0.1,10,1.0,1.0,50,2,100,5,1,0,1,0,0.0001
50,1.0,10,1.1,20.0,49,10,11,1,1,0,1,1,0.0157627955255896
49,0.2,23,3.1,14.4,24,9,20,4,4,18,0,1,0.0001
37,0.5,19,4.0,2.9,46,2,90,1,3,4,0,1,0.0167132172255157
10,1.0,39,1.4,9.3,25,5,48,4,4,3,1,1,0.0078579514912207
49,0.1,10,5.0,1.1,49,2,10,5,1,0,1,0,0.0001
39,0.1,41,1.5,13.5,44,10,21,2,2,9,0,1,0.0001
33,0.1,10,1.5,1.0,10,10,21,4,1,0,0,0,0.0001
49,0.8,18,1.4,10.0,17,6,37,3,1,23,1,0,0.0001
46,1.0,13,3.2,13.9,10,6,76,3,5,3,1,0,0.0112095787142289
14,0.4,15,1.3,17.2,22,3,83,3,3,6,1,1,0.0093102506035051
50,0.8,20,1.4,9.3,50,6,40,5,5,21,1,1,0.0001
29,0.5,30,3.0,11.7,30,6,55,3,3,10,0,0,0.0001
20,1.0,29,1.6,7.7,10,8,59,2,2,9,1,0,0.0001
49,0.1,10,4.9,1.0,50,10,10,5,5,23,0,1,0.0001
50,0.5,10,1.0,20.0,50,6,10,1,1,11,0,1,0.0001
36,1.0,46,1.3,1.0,50,10,10,5,4,8,1,1,0.0001
10,0.5,30,3.0,20.0,10,2,55,5,5,11,0,0,0.0001
10,0.9,49,3.9,13.9,10,2,76,1,1,10,1,1,0.0001
50,1.0,10,5.0,20.0,50,2,100,5,1,23,0,0,0.0146079817135421
42,0.8,20,3.6,13.9,24,6,22,4,3,21,0,1,0.0001
49,1.0,10,1.0,9.3,18,6,10,3,1,0,1,0,0.0001
49,0.1,10,5.0,20.0,50,10,10,1,5,22,1,0,0.0001
46,0.4,15,3.1,4.7,21,3,75,3,3,5,1,1,0.0096873822761639
30,0.1,30,3.0,1.0,50,10,10,5,5,11,0,1,0.0001
45,0.9,13,3.9,14.2,10,7,76,5,5,10,1,1,0.0001
10,1.0,40,1.5,8.9,28,6,47,4,4,3,1,1,0.0078551443715774
49,0.4,22,3.1,14.7,31,10,24,5,4,19,0,1,0.0001
26,0.5,30,2.9,10.3,30,6,53,3,3,11,0,0,0.0001
48,0.1,10,5.0,1.0,50,10,11,5,5,22,0,1,0.0001
14,0.4,46,1.3,17.2,21,2,47,3,1,3,1,0,0.0164969197526236
50,0.1,40,1.5,14.0,44,10,10,2,2,0,0,1,0.0001
49,0.1,10,3.1,14.4,30,10,20,5,1,18,1,1,0.0001
